0
Alkaliphilus sp. B6464
Saccharopolyspora erythraea
Bacillus tropicus
Bacillus nitratireducens
Erwinia sp. E602
Psychrobacillus sp. INOP01
Clostridium butyricum
Vibrio fluvialis
Vibrio sp. B1FLJ16
Vibrio sp. B1FIG11
Xanthomonas euroxanthea
Pseudomonas sp. PP3
Acinetobacter soli
Actinosynnema pretiosum
Cylindrospermopsis raciborskii
Exiguobacterium alkaliphilum
Agrobacterium rhizogenes
Streptococcus sp. HKU75
Luteolibacter sp. 32A
Brevibacterium sp. W7.2
Francisella philomiragia
Caulobacter sp. S6
Gordonia polyisoprenivorans
Streptomyces sp. A2-16
Citrobacter sedlakii
Providencia stuartii
Arachnia propionica
Aggregatibacter sp. oral taxon 513
Atopobium sp. oral taxon 416
Cellulosimicrobium cellulans
Leptotrichia sp. oral taxon 221
Leptotrichia sp. oral taxon 218
Prevotella denticola
Prevotella fusca
Prevotella histicola
Prevotella jejuni
Prevotella melaninogenica
Prevotella multiformis
Prevotella sp. oral taxon 475
Prevotella scopos
Prevotella veroralis
Porphyromonas sp. oral taxon 275
Streptococcus lactarius
TM7 phylum sp. oral taxon 349
Streptomyces auratus
Candidatus Streptomyces philanthi
Coxiella endosymbiont of Amblyomma nuttalli
Flavobacterium sp. CS20
Virgibacillus pantothenticus
Enterobacter sp. BWH 37
Enterobacter sp. MGH 3
Enterobacter sp. MGH 7
Enterobacter sp. MGH 14
Xylella fastidiosa
Streptomyces yatensis
Agromyces sp. G127AT
Candidatus Phytoplasma luffae
Comamonas kerstersii
Pseudomonas sp. Tri1
Klebsiella oxytoca
Microbacterium sp. NIBRBAC000506063
Streptomyces sp. AgN23
Psychrosphaera aestuarii
Brevibacterium oceani
Rhodoferax sp. PAMC29310
Rhizobium sp. NLR16a
Eggerthellaceae bacterium zg-886
Carnobacteriaceae bacterium zg-C25
Streptomyces sp. LBUM 1475
Streptomyces sp. LBUM 1480
Streptomyces sp. LBUM 1482
Pseudomonas khazarica
Bacillus cytotoxicus
Thiothrix unzii
Agrobacterium tumefaciens
Campylobacter fetus
Wolbachia endosymbiont of Aedes aegypti
Aromatoleum petrolei
Aromatoleum bremense
Lactobacillus taiwanensis
Bifidobacterium bifidum
Treponema parvum
Wolbachia endosymbiont of Wiebesia pumilae
Halomonas sp. MCCC 1A13718
Halomonas sp. MCCC 1A11059
Burkholderia glumae
Lactobacillus gasseri
Serratia symbiotica
Bifidobacterium adolescentis
Burkholderia latens
Desulfovibrio desulfuricans
Tessaracoccus sp. MC1865
Aureimonas populi
Burkholderia seminalis
Bacteroides sp. ZJ-18
Heyndrickxia oleronia
Priestia megaterium
Pseudomonas mendocina
Cognatishimia activa
Rhodoferax sp. AJA081-3
Aggregatibacter sp. 2125159857
Brucella sp. 458
Bacillus sp. LJBV19
Brevundimonas sp. AJA228-03
Mammaliicoccus vitulinus
Ochrobactrum sp. EEELCW01
Sediminibacillus sp. DP4-553-S
Brachyspira hyodysenteriae
Halanaerobiaceae bacterium NS-1
Mannheimia sp. ZY171111
Bifidobacterium pseudocatenulatum
Bifidobacterium dentium
Xenorhabdus budapestensis
Pseudoalteromonas viridis
Xanthomonas euvesicatoria
Cohnella sp. LGH
Rhodococcus sp. ZPP
Candidatus Nardonella dryophthoridicola
Dolosigranulum pigrum
Yimella sp. cx-51
Mycoplasma gallisepticum
Roseomonas sp. 1318
Streptococcus sp. zg-86
Streptomyces nojiriensis
Pseudoalteromonas xiamenensis
Psychrosphaera sp. MTZ26
Corynebacterium sp. 1864
Corynebacterium matruchotii
Kosakonia oryzae
Escherichia albertii
Sphingomonas wittichii
Pseudomonas corrugata
Xanthomonas fragariae
Arthrobacter crystallopoietes
Trueperella pecoris
Lactobacillus delbrueckii
Agrobacterium rubi
Arthrobacter woluwensis
Mucilaginibacter rubeus
Brenneria izadpanahii
Mucilaginibacter gossypii
Clostridiales bacterium FE2011
Clostridiales bacterium FE2010
Micrococcales bacterium LRZ-2
Brevilactibacter sp. MC1595
Polaribacter sp. SM13
Streptomyces cyanogenus
Burkholderia anthina
Yersinia ruckeri
Streptomyces lividans
Acinetobacter towneri
Parasphingorhabdus sp. JHSY0214
Acanthopleuribacteraceae bacterium M133
Ottowia sp. 27C
Sporosarcina sp. Te-1
Polaribacter sp. G4M1
Brevundimonas goettingensis
Brevundimonas pondensis
Streptomyces rimosus
Lactococcus cremoris
Alcaligenes sp. SORT26
Desulfonema magnum
Desulfonema limicola
Salmonella sp. SAL-007
Salmonella sp. SAL-045
Salmonella sp. SAL-020
Thermosipho sp. JL129W03
Streptomyces sp. CA-256286
thermophilic bacterium 3443-3Ac
Sulfurimonas sp. H1576
Rhizobium sp. ZX09
Paenarthrobacter ureafaciens
Arthrobacter sp. D5-1
Rhizobium sp. NZLR1
Rhizobium leguminosarum
Rhizobium ruizarguesonis
Rhizobium bangladeshense
Rhizobium binae
Bordetella parapertussis
Bordetella holmesii
Staphylococcus simiae
Pontibacillus sp. ALD_SL1
Lysobacter arenosi
Lysobacter solisilvae (ex Kim et al. 2021)
Lysobacter enzymogenes
Dolichospermum sp. DET69
Roseomonas sp. 546
Shewanella sp. FJAT-53720
Shewanella sp. FJAT-52962
Shewanella sp. FJAT-51800
Shewanella sp. FJAT-53726
Streptomyces nodosus
Glaesserella parasuis
Alkalibacter sp. ES005
Sedimentibacter sp. zth1
Rhizobium lentis
Flavobacterium sp. BB8
Candidatus Vidania fulgoroideae
Clostridium gasigenes
Prevotella sp. WR041
Caldicellulosiruptor sp. YA01
Methylobacterium indicum
Candidatus Desulfobacillus denitrificans
Candidatus Nitrosymbiomonas proteolyticus
Candidatus Brocadia pituitae
Aphanizomenon flos-aquae
Dolichospermum sp. DL01
Dolichospermum sp. LBC05a
Dolichospermum sp. UKL201
Geobacter sp. Jerry-YX
Bacillus licheniformis
Photobacterium ganghwense
Catenibacterium sp. co_0103
Blautia argi
Psychroflexus sp. ALD_RP9
Streptomyces sp. M54
Methylacidimicrobium sp. B4
Methylacidiphilum sp. IT5
Methylacidiphilum sp. IT6
Nocardioides sp. S5
Marinobacterium georgiense
Nocardioides aromaticivorans
Hyphomonas sp. KY3
Novosphingobium sp. KA1
Lactococcus sp. LG606
Lactococcus sp. LG592
Lactococcus sp. LG1267
Lactococcus sp. LG1074
Acinetobacter indicus
Xanthomonas translucens
Koleobacter methoxysyntrophicus
Marinobacter sp. LPB0319
Alicyclobacillus ferrooxydans
Caballeronia sp. M1242
Mycobacteroides abscessus
Pseudomonas toyotomiensis
Burkholderia multivorans
Nostoc sp. UHCC 0702
Dickeya solani
Niveibacterium microcysteis
Marinicauda algicola
Leucobacter sp. CX169
Thermobispora bispora
Treponema pedis
Treponema ruminis
Treponema phagedenis
Treponema medium
Variovorax sp. RKNM96
Erysipelotrichaceae bacterium 66202529
Skermanella sp. TT6
Photobacterium damselae
Halomonas venusta
Streptomyces solisilvae
Massilia sp. CCM 8941
Mycobacterium kubicae
Serratia sp. CMO1
Sinorhizobium meliloti
Chlamydia muridarum
Clostridium botulinum
Candidatus Nasuia deltocephalinicola
Candidatus Sulcia muelleri
Nocardioides sp. zg-1228
Brevundimonas sp. CS1
Staphylococcus sp. SB1-57
Mycobacterium gordonae
Thermosynechococcus sp. TA-1
Paenibacillus sp. TB2019
Hungatella xylanolytica
Fulvivirga sp. S481
Rhodococcus sp. R79
Rhodococcus koreensis
Lactococcus taiwanensis
Rhodococcus erythropolis
Streptomyces sp. MBT27
Acinetobacter calcoaceticus
Leuconostoc falkenbergense
Parageobacillus toebii
Halomonas sp. Y2R2
Pseudomonas simiae
Pseudomonas sp. SDM007
Tsuneonella flava
Lysinibacillus fusiformis
Micromonosporaceae bacterium DSM 106523
Curtobacterium sp. 24E2
Pseudomonas sp. 15A4
Mycoplasma sp. Zaradi2
Natronoglycomyces albus
Methylomonas sp. EFPC1
Methylococcus sp. EFPC2
Bacillus sp. LJBS06
Rothia sp. ZJ932
Xanthomonas sp. LMG 31885
Xanthomonas sp. LMG 31887
Xanthomonas sp. LMG 31886
Xanthomonas sp. LMG 31884
Shewanella sp. LC6
Vibrio sp. sp1
Paracoccus sp. H4-D09
Streptomyces tsukubensis
Sphingomonas paucimobilis
Thermoleptolyngbya sp. PKUAC-SCTB121
Pseudomonas sp. PDNC002
Ensifer sp. PDNC004
Gordonia sp. PDNC005
Sphingobacterium siyangense
Mycolicibacterium boenickei
Microbacterium hominis
Bacillus sp. PDNC022
Variovorax sp. PDNC026
Streptomyces noursei
Glaciimonas sp. PAMC28666
Staphylococcus sp. SM9054
Staphylococcus sp. SM3655
Dysgonomonadaceae bacterium zrk40
Mycolicibacterium mucogenicum
Streptomyces californicus
Marinomonas foliarum
Arcanobacterium phocisimile
Coprococcus comes
Streptococcus anginosus
Hydrogenophaga sp. YM1
Pseudomonas marincola
Pseudomonas oleovorans
Burkholderia sp. MS455
Burkholderia sp. MS389
Dyadobacter sp. Q3-56
Cupriavidus oxalaticus
Neisseriaceae bacterium 26B
Glutamicibacter protophormiae
Citrobacter sp. B72
Archangium violaceum
Chromobacterium violaceum
Staphylococcus carnosus
Corynebacterium sp. FDAARGOS 1242
Staphylococcus condimenti
Streptococcus constellatus
Rhodanobacter sp. FDAARGOS 1247
Corynebacterium glucuronolyticum
Corynebacterium minutissimum
Amycolatopsis sp. FDAARGOS 1241
Enterocloster bolteae
Corynebacterium macginleyi
Corynebacterium striatum
Corynebacterium amycolatum
Corynebacterium kroppenstedtii
Haemophilus parahaemolyticus
Kytococcus sedentarius
Butyricimonas virosa
Phocaeicola coprophilus
Acholeplasmataceae bacterium Mahy22
Actinocatenispora thailandica
Pseudoalteromonas sp. PS1M3
Adlercreutzia equolifaciens
Geobacter sp. SVR
Methylomonas sp. LW13
Dyella caseinilytica
Kordiimonadales bacterium IMCC3096
Rhizobiales bacterium IMCC20636
Pectobacterium carotovorum
Pectobacterium parmentieri
Rhizobium sp. BG4
Sinorhizobium sp. BG8
Rhizobium sp. BG6
Agrobacterium fabrum
Microvirga sp. VF16
Legionella sp. MW5194
Dechloromonas sp. TW-R-39-2
Lacinutrix sp. WUR7
Mycobacterium heckeshornense
Pseudomonas alcaligenes
Pseudomonas sp. RtIB026
Pseudomonas granadensis
Shewanella sp. LZH-2
Staphylococcus saccharolyticus
Azospira restricta
Delftia lacustris
Metabacillus sp. cB07
Rhodococcus aetherivorans
Bradyrhizobium sp. PSBB068
Shinella sp. PSBB067
Elizabethkingia anophelis
Shewanella litorisediminis
Bulleidia sp. zg-1006
Vibrio diabolicus
Citrobacter sp. R56
Brevibacillus choshinensis
Xanthobacter sp. YN2
Alcaligenes faecalis
Variovorax paradoxus
Rhodobacteraceae bacterium C31
Rhizobium rosettiformans
Microbacterium sp. JZ31
Alicyclobacillus sp. TC
Rhodococcus ruber
Methylobacterium aquaticum
Staphylococcus lugdunensis
Klebsiella africana
Streptomyces pratensis
Streptomyces koyangensis
Bacillus safensis
Bordetella bronchiseptica
Dysosmobacter welbionis
Serratia sp. Tan611
Sulfitobacter mediterraneus
Paradevosia shaoguanensis
Staphylococcus pseudoxylosus
Burkholderia thailandensis
Staphylococcus equorum
Paenibacillus sonchi
Pseudomonas sp. SK2
Pseudomonas sp. SK3(2021)
Thiothrix sp. Ku-5
Heyndrickxia vini
Mycobacteroides chelonae
Tamlana sp. s12
Keratinibaculum paraultunense
Agreia sp. COWG
Streptomyces sp. KY75
Streptomyces sp. KY70
Gluconobacter sphaericus
Cupriavidus necator
Shewanella sp. KX20019
Aequorivita sp. KX20305
Mesorhizobium sp. L-8-10
Mesorhizobium sp. L-8-3
Mesorhizobium sp. L-2-11
Mesorhizobium sp. 131-3-5
Mesorhizobium sp. 131-2-5
Mesorhizobium sp. 131-2-1
Mesorhizobium sp. 113-3-9
Mesorhizobium sp. 113-3-3
Mesorhizobium sp. 113-1-2
Streptomyces sp. SN-593
Staphylococcus argenteus
Alteromonas sp. KC14
Alteromonas sp. KC3
Mycobacterium paraintracellulare
Succinivibrio dextrinosolvens
Arthrospira sp. PCC 9108
Mycobacterium marinum
Thiohalocapsa sp. PB-PSB1
Croceicoccus sp. YJ47
Staphylococcus sp. T93
Sphingomonas aliaeris
Rickettsia tillamookensis
Staphylococcus sp. 11-B-312
Achromobacter xylosoxidans
Chryseobacterium sp. FDAARGOS 1104
Corynebacterium aurimucosum
Corynebacterium propinquum
Corynebacterium riegelii
Corynebacterium tuberculostearicum
Serratia liquefaciens
Yersinia enterocolitica
Corynebacterium ulcerans
Enterococcus casseliflavus
Myroides odoratus
Mobiluncus curtisii
Pediococcus pentosaceus
Peptoniphilus harei
Acinetobacter ursingii
Shigella boydii
Sphingobacterium multivorum
Sphingobacterium spiritivorum
Staphylococcus pasteuri
Streptococcus lutetiensis
Peribacillus psychrosaccharolyticus
Sutterella wadsworthensis
Fusobacterium canifelinum
Burkholderia gladioli
Saccharothrix sp. 6-C
Pseudoalteromonas sp. GCY
Actinomyces sp. HMT 175
Peptacetobacter hiranonis
Chryseobacterium indoltheticum
Brevundimonas sp. GRTSA-9
Entomomonas sp. F2A
Bacillus sp. TK-2
Carnobacterium sp. CS13
Lactobacillus ultunensis
Lysinibacillus agricola
Nitratiruptor sp. YY08-10
Kaistia sp. 32K
Thiohalobacter sp. COW1
Actinomyces sp. HMT897
Providencia vermicola
Paracoccus sp. MC1862
Bradyrhizobium diazoefficiens
Luteimonas sp. MC1750
Luteimonas sp. MC1572
Pseudomonas sp. SW-3
Streptomyces sp. XC 2026
Elizabethkingia bruuniana
Anaerococcus obesiensis
Pseudomonas balearica
Corynebacterium kefirresidentii
Raoultella sp. XY-1
Acinetobacter sp. CS-2
Rahnella aceris
Pseudomonas syringae group genomosp. 3
Pseudomonas cannabina
Actinomyces weissii
Pseudoalteromonas sp. LC2018020214
Shigella sonnei
Streptomyces sp. ZYC-3
Martelella lutilitoris
Streptomyces sp. HSG2
Elizabethkingia sp. M8
Hydrogenimonas urashimensis
Nitratiruptor sp. YY09-18
Nitratiruptor sp. YY08-26
Nitratiruptor sp. YY08-14
Nitratiruptor sp. YY08-13
Candidatus Carsonella ruddii (Diaphorina cf. continua)
Isorropodon fossajaponicum symbiont
Abyssogena phaseoliformis symbiont
Thermotomaculum hydrothermale
Neptunomonas japonica
Amphritea japonica
Alicycliphilus denitrificans
Lachnospiraceae bacterium TB5
Mesorhizobium sp. J8
Rhodopseudomonas palustris
Wolbachia endosymbiont of Drosophila melanogaster
Acinetobacter bereziniae
Verrucomicrobiales bacterium T37
Mucilaginibacter ginkgonis
Salicibibacter cibi
Salicibibacter cibarius
Cobetia sp. cqz5-12
Flocculibacter collagenilyticus
Streptomyces murinus
Burkholderia ambifaria
Histophilus somni
Mycolicibacterium sp. Z-34
Phormidium sp. ETS-05
Desulfobulbus oligotrophicus
Bacillus mojavensis
Azotobacter chroococcum
Alicyclobacillus sp. SO9
Brevibacillus sp. FJAT-54423
Leptolyngbya sp. BL0902
Lysinibacillus sp. C5.1
Jeotgalicoccus sp. ATCC 8456
Mycolicibacterium sp. LJ126
Bacillus siamensis
Curtobacterium sp. YC1
Acidithiobacillus ferrivorans
Aerococcaceae bacterium zg-252
Pelagovum pacificum
Spongiibacter sp. CSC3.9
Oceanospirillaceae bacterium xL5
Oceanospirillaceae bacterium ASO5
Paraburkholderia ginsengisoli
Rothia kristinae
Corynebacterium bovis
Brucella anthropi
Schaalia meyeri
Corynebacterium urealyticum
Actinomyces oris
Staphylococcus pettenkoferi
Moraxella nonliquefaciens
Actinomyces naeslundii
Brevundimonas diminuta
Streptococcus salivarius
Anaerococcus vaginalis
Delftia acidovorans
Kingella denitrificans
Streptococcus infantarius
Leuconostoc pseudomesenteroides
Haemophilus parainfluenzae
Veillonella parvula
Aggregatibacter segnis
Staphylococcus felis
Aerococcaceae bacterium zg-1292
Thioclava electrotropha
Treponema sp. RCC2812
Mycoplasma salivarium
Staphylococcus schleiferi
Fluviibacter phosphoraccumulans
Microbacterium chengjingii
Staphylococcus saprophyticus
Oligella ureolytica
Neisseria cinerea
Proteus penneri
Serratia rubidaea
Atlantibacter hermannii
Burkholderia humptydooensis
Burkholderia oklahomensis
Aerococcus urinae
Lysinibacillus macroides
Aeromonas allosaccharophila
Fannyhessea vaginae
Edwardsiella hoshinae
Listeria welshimeri
Aggregatibacter actinomycetemcomitans
Bacillus sp. V3
Lysinibacillus sp. JNUCC-52
Lysinibacillus sp. JNUCC-51
Stenotrophomonas rhizophila
Lonsdalea populi
Sulfurovum indicum
Halomonas sp. MCCC 1A13316
Campylobacter cuniculorum
Campylobacter sp. 2014D-0216
Helicobacter winghamensis
Helicobacter cinaedi
Campylobacter peloridis
Campylobacter corcagiensis
Aerococcus urinaeequi
Pseudomonas poae
Halomonas sp. SS10-MC5
Streptomyces bathyalis
Thalassospira sp. A40-3
Sulfitobacter sp. B30-2
Synechococcus sp. CBW1107
Synechococcus sp. CBW1002
Synechococcus sp. CBW1004
Synechococcus sp. CBW1006
Synechococcus sp. CBW1108
Providencia sp. 2.29
Diaphorobacter sp. JS3051
Brucella sp. BO2
Pseudooceanicola algae
Staphylococcus lloydii
Atribacter laminatus
Campylobacter hepaticus
Streptomyces clavuligerus
Vibrio navarrensis
Alteromonas sp. B31-7
Halomonas sp. A40-4
Pseudoalteromonas sp. A41-2
Erythrobacter sp. A30-3
Thalassospira sp. B30-1
Pseudomonas fragi
Corynebacterium qintianiae
Schaalia sp. ZJ405
Corynebacterium lizhenjunii
Actinomyces trachealis
Methylomonas sp. LL1
Streptomyces gardneri
Actinomyces sp. zg-332
Campylobacter concisus
Rhizobium phaseoli
Vibrio kanaloae
Sarcina sp. JB2
Candidatus Nitronauta litoralis
Candidatus Pinguicoccus supinus
Listeria seeligeri
Bacillus paranthracis
Bacteroides sp. HF-162
Pontivivens sp. MT2928
Actinomycetaceae bacterium zg-1166
Pseudomonas fulva
Pedobacter endophyticus
Actinomyces respiraculi
Pseudoalteromonas rubra
Vibrio europaeus
Rhodococcus sp. M8
Pantoea sp. SM3640
Companilactobacillus futsaii
Salinimonas marina
gamma proteobacterium SS-5
Methylacidimicrobium sp. AP8
Bradyrhizobium genosp. B
Bradyrhizobium genosp. L
Brucella pinnipedialis
Kinneretia sp. DAIF2
Acinetobacter sp. TTH0-4
Streptomyces albidoflavus
Klebsiella sp. BDA134-6
Microbacterium fandaimingii
Raoultella terrigena
Microbacterium schleiferi
Salmonella sp. SJTUF14076
Salmonella sp. SJTUF14146
Salmonella sp. SJTUF14152
Salmonella sp. SJTUF14154
Salmonella sp. SJTUF14170
Salmonella sp. SJTUF14178
Echinicola sp. 20G
Mycolicibacterium arabiense
Clostridium sp. 'deep sea'
Anaerolinea sp. 'rifampicinis'
Mesorhizobium sp. INR15
Mesorhizobium sp. NBSH29
Kaustia mangrovi
Bacillaceae bacterium R1DC41
Schlegelella thermodepolymerans
Mycoplasma hyorhinis
Shigella dysenteriae
Proteus sp. GOKU
Rodentibacter sp. DSM 111151
Rhizobium sp. 007
Cellulosimicrobium sp. JZ28
Paenibacillus sp. JZ16
Anoxybacillus caldiproteolyticus
Mammaliicoccus fleurettii
Pseudorhizobium flavum
Rhizobium sp. Khangiran2
Rhizobium sp. Q54
Rhizobium sp. TCK
arsenite-oxidising bacterium NT-25
Psychrobacter arenosus
Chromobacterium sp. Rain0013
Bradyrhizobium sp. CCBAU 53351
Bradyrhizobium sp. CCBAU 51765
Bradyrhizobium arachidis
Bradyrhizobium guangdongense
Bradyrhizobium sp. CCBAU 53338
Bradyrhizobium sp. CCBAU 53340
Bradyrhizobium sp. CCBAU 53421
Bradyrhizobium sp. CCBAU 51753
Bradyrhizobium sp. CCBAU 21365
Streptomyces violascens
Microbacterium sp. A18JL241
Microbacterium sp. A18JL200
Microbacterium sp. NY27
Leuconostoc citreum
Microbacterium sp. WY121
Paludibaculum fermentans
Pseudomonas sp. OST1909
Lysobacter sp. H21R4
Olsenella sp. LZLJ-2
Mycobacterium orygis
Candidatus Sulfurimonas marisnigri
Candidatus Sulfurimonas baltica
Anaerobacillus isosaccharinicus
Actinomyces faecalis
Streptomyces olivaceus
Staphylococcus capitis
Kordiimonas pumila
Winkia sp. C64
Acinetobacter sp. Ac-14
Burkholderia cepacia
Acinetobacter sp. YH12138
Acinetobacter piscicola
Pseudoalteromonas arabiensis
Lysobacter sp. H23M47
Lysobacter sp. H23M41
Lysobacter sp. H21R20
Rothia amarae
Rothia terrae
Kaistella flava (ex Peng et al. 2021)
Novosphingobium sp. ES2-1
Humisphaera borealis
Pseudomonas shirazica
Citrobacter sp. BDA59-3
Kosakonia pseudosacchari
Streptomyces chromofuscus
Streptomyces ferrugineus
Blautia sp. LZLJ-3
Viridibacillus sp. JNUCC-6
Jeongeupia sp. HS-3
Candidatus Stammera capleta
Solibaculum mannosilyticum
Pseudomonas monteilii
Klebsiella sp. STW0522-44
Janthinobacterium sp. HH102
Eggerthella guodeyinii
Massilia sp. LPB0304
Nitrosophilus alvini
Ktedonobacteria bacterium brp13
Kluyvera ascorbata
Vibrio nigripulchritudo
Faecalibacillus intestinalis
Coprobacter secundus
Effusibacillus dendaii
Cupriavidus basilensis
Sphingobium fuliginis
Microbacterium sp. YJN-G
Paenarthrobacter sp. YJN-D
Paenarthrobacter sp. YJN-5
Thermobifida fusca
Treponema rectale
Geobacillus stearothermophilus
Cruoricaptor ignavus
Ruania alkalisoli
Bacillus sp. HD4P25
Devosia sp. S02
Sulfurimonas paralvinellae
Sulfurimonas sediminis
Sulfurimonas sp. B2
Levilactobacillus brevis
Lentilactobacillus parabuchneri
Pseudopuniceibacterium antarcticum
Bifidobacterium subtile
Bifidobacterium lemurum
Bifidobacterium eulemuris
Thalassotalea sp. LPB0316
Neisseria sp. ZJ785
Candidatus Paracaedibacteraceae bacterium 'Lake Konstanz'
Aeromonas simiae
Dehalogenimonas sp. GP
Chitinophaga oryzae
Pseudomonas brassicacearum
Brucella suis
Microbacterium hydrocarbonoxydans
Cytobacillus oceanisediminis
Janibacter indicus
Pseudomonas taiwanensis
Vibrio bathopelagicus
Candidatus Riesia pediculicola
Planctomycetales bacterium zrk34
Pseudomonas allokribbensis
Pseudomonas gozinkensis
Arthrobacter sp. TES
Paenibacillus sp. JNUCC-32
Brevibacterium sp. JNUCC-42
Pseudomonas sp. IzPS59
Rouxiella badensis
Blochmannia endosymbiont of Colobopsis nipponica
Pseudomonas savastanoi
Dickeya fangzhongdai
Rhodococcus rhodochrous
Plesiomonas shigelloides
Streptococcus sp. KS 6
Francisella noatunensis
Enterococcus gallinarum
Leuconostoc sp. LN180020
Brevibacillus sp. JNUCC-41
Paenibacillus sp. JNUCC-31
Aureimonas sp. OT7
Flavobacterium sp. MDT1-60
Stenotrophomonas sp. CW117
Komagataeibacter hansenii
Pseudomonas sp. ADPe
Variovorax sp. 38R
Aminobacter sp. SR38
Ligilactobacillus salivarius
Lactobacillus johnsonii
Shewanella sp. WPAGA9
Halomonas sp. YLGW01
Algoriphagus sp. Y33
Marinomonas algicola
Salinibacterium sp. ZJ450
Salinibacterium sp. ZJ70
Nocardioides sp. ZJ1313
Nocardioides sp. MC1495
Sulfurospirillum sp. ACSDCE
Sulfurospirillum sp. ACSTCE
Pseudomonas asiatica
Chryseoglobus sp. 28M-23
Lysobacter sp. CW239
Weissella viridescens
Chromobacterium haemolyticum
Ochrobactrum sp. MT180101
Polaribacter haliotis
Clavibacter zhangzhiyongii
Psychrobacter sp. 28M-43
Rathayibacter toxicus
Pseudarthrobacter sp. BIM B-2242
Micromonospora craniellae
Luteimonas sp. MC1825
Roseococcus sp. NIBR12
Mesoflavibacter profundi
Komagataeibacter rhaeticus
Wenzhouxiangella sp. AB-CW3
Geobacillus sp. 44B
Candidatus Vesicomyosocius sp. SY067_SCS001
Pseudomonas sp. CFA
Mycobacterium kansasii
Dissulfurispira thermophila
Tepiditoga spiralis
Streptomyces glomeroaurantiacus
Streptomyces tuirus
Acetobacter aceti
Ruminiclostridium herbifermentans
'Echinacea purpurea' witches'-broom phytoplasma
Saccharopolyspora pogona
Halomonas titanicae
Pedobacter sp. SW-16
Paenibacillus peoriae
Mixta calida
Roseicitreum antarcticum
Micromonospora sagamiensis
Geobacillus sp. 44C
Geobacillus sp. 47C-IIb
Geobacillus sp. 46C-IIa
Geobacillus zalihae
Geobacillus thermoleovorans
Thermomonas sp. XSG
Streptomyces griseofuscus
Peribacillus butanolivorans
Weissella koreensis
Entomobacter blattae
Glutamicibacter nicotianae
Defluviicoccus vanus
Lactobacillus kefiranofaciens
Tessaracoccus lapidicaptus
Marinomonas arctica
Buchnera aphidicola
Rhodobacter capsulatus
Piscirickettsia salmonis
Stenotrophomonas sp. 169
Streptomyces sp. CRXT-Y-14
Empedobacter stercoris
Mannheimia bovis
Croceimicrobium hydrocarbonivorans
Exiguobacterium sp. Helios
Candidatus Desulforudis audaxviator
Mycetocola sp. JXN-3
Pseudomonas psychrotolerans
Corynebacterium sp. 4H37-19
Brucella sp. 6810
Pantoea sp. MT58
Mesorhizobium sp. NIBR3
Staphylococcus warneri
Brucella intermedia
Streptomyces sp. CB00271
Kosakonia sp. SMBL-WEM22
Sphingomonas alpina
Corynebacterium sp. zg-913
Corynebacterium sp. zg-320
Corynebacterium sp. zg-917
Saccharopolyspora spinosa
Phascolarctobacterium faecium
Streptomyces sp. CRXT-G-22
Streptomyces sp. CRPJ-33
Acidovorax monticola
Tessaracoccus defluvii
Hymenobacter qilianensis
Diaphorobacter aerolatus
Sphingomonas sediminicola
Sphingomonas daechungensis
Lysobacter solisilvae (ex Woo and Kim 2020)
Cylindrospermopsis curvispora
Protaetiibacter sp. SSC-01
Sphingopyxis sp. OPL5
Caproicibacterium amylolyticum
Alkalicella caledoniensis
Nitrosophilus labii
Nocardia wallacei
Microbacterium sp. Nx66
Candidatus Nitrosacidococcus tergens
Brachybacterium sp. Z12
Pseudoxanthomonas mexicana
Weissella diestrammenae
Vagococcus carniphilus
Thermomonas carbonis
Sphingomonas lutea
Sphingomonas rhizophila
Leucobacter denitrificans
Erysipelothrix inopinata
Diaphorobacter ruginosibacter
Nocardioides mesophilus
Phycicoccus endophyticus
Thermomonas brevis
Pedobacter roseus
Amniculibacterium sp. G2-70
Mycoplasma sp. Pen4
Aliarcobacter cryaerophilus
Polaribacter sp. L12M9
Sphingomonas sabuli
Fusobacterium sp. NSJ-57
Eubacterium sp. NSJ-61
Lachnospiraceae bacterium NSJ-29
Lachnospiraceae bacterium NSJ-38
Lachnospiraceae bacterium sunii NSJ-8
Lachnospiraceae bacterium NSJ-4
Aeromicrobium sp. zg-629
Olivibacter sp. SDN3
Sphingosinithalassobacter sp. CS137
Novosphingopyxis iocasae
Hyphobacterium sp. CCMP332
Bacteroides sp. PHL 2737
Streptomyces sp. So13.3
Thermoanaerosceptrum fracticalcis
Desulfovibrio sp. G11
Synechococcus sp. MIT S9220
Synechococcus sp. WH 8101
Caproiciproducens sp. 7D4C2
Paenibacillus sp. PAMC21692
Variovorax sp. PAMC28562
Winogradskyella sp. PAMC22761
Nakamurella sp. PAMC28650
Brevibacterium sp. PAMC23299
Variovorax sp. PAMC26660
Pedobacter sp. PAMC26386
Dermacoccus sp. PAMC28757
Sporosarcina sp. resist
Bacillus sp. PAMC22265
Neisseria musculi
Dyella sp. G9
Altibacter sp. ALE3EI
Streptomyces buecherae
Xenorhabdus nematophila
Psychrobacter sp. KCTC 72983
Sphingobium sp. KCTC 72723
Cyanobium sp. NS01
Synechococcus sp. A15-127
Synechococcus sp. A15-24
Synechococcus sp. A15-28
Synechococcus sp. A15-44
Synechococcus sp. A15-60
Synechococcus sp. A15-62
Synechococcus sp. A18-40
Synechococcus sp. A18-25c
Synechococcus sp. A18-46.1
Synechococcus sp. BIOS-U3-1
Synechococcus sp. BMK-MC-1
