0
Caldalkalibacillus thermarum
Streptococcus dysgalactiae
Rhodococcus opacus
Erwinia persicina
Curtobacterium sp. TC1
Pseudomonas sp. DR48
Pseudomonas mosselii
Asaia bogorensis
Pseudomonas sp. DR208
Avibacterium paragallinarum
Caenibius sp. WL
Klebsiella michiganensis
Citrobacter farmeri
Riemerella anatipestifer
Pseudoalteromonas piscicida
Enterococcus raffinosus
Agrobacterium vitis
Chenggangzhangella methanolivorans
Candidatus Symbiopectobacterium sp. SyEd1
Limosilactobacillus panis
Idiomarina abyssalis
Vagococcus lutrae
Cellulomonas sp. C5510
Campylobacter jejuni
Xanthomonas arboricola
Stenotrophomonas sp. DR822
Paenibacillus sp. DR312
Shigella flexneri
Acinetobacter lwoffii
Streptococcus halichoeri
Streptomyces sp. BHT-5-2
Flavobacterium psychrophilum
Flavobacterium sp. CHNK8
Pseudomonas protegens
Mycolicibacterium farcinogenes
Xanthomonas hortorum
Pantoea ananatis
Brevibacterium casei
Mycoplasma sp. Ms02
Dyadobacter sp. NIV53
Pseudomonas sp. 3-2
Glycomyces sp. TRM65418
Bacillus pumilus
Cutibacterium modestum
Actinoplanes sp. L3-i22
Pseudomonas stutzeri
Latilactobacillus curvatus
Stenotrophomonas pavanii
Microcystis aeruginosa
Vibrio cholerae
Bacillus cereus
Desulfuromonas versatilis
Cutibacterium avidum
Rhodococcus hoagii
Streptomyces sp. EAS-AB2608
Methyloradius palustris
Desulfobulbaceae bacterium KT2
Thaumasiovibrio subtropicus
Thaumasiovibrio occultus
Atopobiaceae bacterium P1
Helicobacter sp. NHP19-0012
Helicobacter sp. NHP19-0003
Acinetobacter pittii
Flavobacterium sp. KK2020170
Campylobacter sp. 19-13652
Acinetobacter sp. Tol 5
Pseudomonas sp. ERGC3:05
Pseudomonas mandelii
Bacillus anthracis
Mycobacterium tuberculosis
Serratia fonticola
Alphaproteobacteria bacterium SO-S41
Shewanella carassii
Shewanella algae
Shewanella chilikensis
Vibrio alfacsensis
Agarivorans aestuarii
Agarivorans albus
Agarivorans sp. YJW224
Agarivorans sp. YJW194
Agarivorans sp. YJW074
Methylomagnum ishizawai
Methylogaea oryzae
Methylomonas koyamae
Borrelia sp. HM
Borrelia miyamotoi
Gelria sp. Kuro-4
Wolbachia pipientis
Deefgea sp. D13
Deefgea sp. D25
Candidatus Rhabdochlamydia porcellionis
Pseudomonas sp. 2hn
